Year,Month,Data,mm,SLR
1924,3,20,2480,133
1924,3,21,2613,28
1924,3,22,2641,-128
1924,3,23,2513,-35
1924,3,24,2478,-36
1924,3,25,2442,92
1924,3,26,2534,247
1924,3,27,2781,-208
1924,3,28,2573,-83
1924,3,29,2490,130
1924,3,30,2620,-146
1924,3,31,2474,8
1924,4,1,2482,142
1924,4,2,2624,-268
1924,4,3,2356,2
1924,4,4,2358,12
1924,4,5,2370,46
1924,4,6,2416,281
1924,4,7,2697,35
1924,4,8,2732,-127
1924,4,9,2605,-65
1924,4,10,2540,-57
1924,4,11,2483,-44
1924,4,12,2439,24
1924,4,13,2463,42
1924,4,14,2505,-61
1924,4,15,2444,-66
1924,4,16,2378,11
1924,4,17,2389,51
1924,4,18,2440,151
1924,4,19,2591,-84
1924,4,20,2507,-12
1924,4,21,2495,52
1924,4,22,2547,-9
1924,4,23,2538,-104
1924,4,24,2434,50
1924,4,25,2484,-5
1924,4,26,2479,-26
1924,4,27,2453,56
1924,4,28,2509,15
1924,4,29,2524,48
1924,4,30,2572,105
1924,5,1,2677,-133
1924,5,2,2544,-57
1924,5,3,2487,52
1924,5,4,2539,-60
1924,5,5,2479,-49
1924,5,6,2430,-6
1924,5,7,2424,74
1924,5,8,2498,135
1924,5,9,2633,-54
1924,5,10,2579,-105
1924,5,11,2474,162
1924,5,12,2636,47
1924,5,13,2683,-130
1924,5,14,2553,-26
1924,5,15,2527,-32
1924,5,16,2495,3
1924,5,17,2498,-16
1924,5,18,2482,-40
1924,5,19,2442,-25
1924,5,20,2417,76
1924,5,21,2493,102
1924,5,22,2595,-89
1924,5,23,2506,-63
1924,5,24,2443,71
1924,5,25,2514,-33
